transaction_id,customer_id,product_id,product_name,quantity_sold,unit_price,transaction_date,store_id,inventory_level,reorder_point,reorder_quantity,supplier_id,supplier_lead_time,customer_age,customer_gender,customer_income,customer_loyalty_level,promotion_type,weather_conditions,holiday_indicator,weekday,stockout_indicator,forecasted_demand,actual_demand,sales,age_group,category_Electronics,payment_method_Credit Card,payment_method_Debit Card,payment_method_Digital Wallet,"store_location_Dallas, TX","store_location_Los Angeles, CA","store_location_Miami, FL","store_location_New York, NY",promotion_applied_True,sales_per_unit,revenue_per_product,month,quarter,season,sales_category
1,2824,843,Fridge,0.012118374306065063,-1.4922615336073635,2024-03-31 21:46:00,3,-0.04984770673882337,116,170,474,8,29,2,98760.83,Silver,BOGO,Stormy,False,Friday,True,172,179,-1.049122249169103,18-30,True,True,False,False,False,False,True,False,True,-86.57285397134773,-0.01808378382679672,3,1,2,
2,1409,135,TV,0.716675020007527,1.5879895642890092,2024-07-28 12:45:00,5,-1.470708229076032,70,212,135,4,34,2,69781.93,Gold,Percentage Discount,Rainy,False,Monday,True,109,484,1.938286475662006,30-40,True,False,False,False,True,False,False,False,True,2.704554256183854,1.1380724527585697,7,3,3,Low
3,5506,391,Fridge,0.716675020007527,0.6331471089953453,2024-06-10 04:55:00,1,1.1050389247175285,94,252,475,2,69,2,77373.1,Platinum,BOGO,Sunny,False,Tuesday,True,289,416,1.0368649391523228,60+,True,False,False,False,False,True,False,False,False,1.4467714238755425,0.453760717006947,6,2,3,Low
4,5012,710,Smartphone,1.421231665708989,-1.503252345900418,2024-08-15 01:03:00,5,1.3920107543521372,87,112,118,7,47,2,33383.04,Silver,Percentage Discount,Sunny,True,Sunday,False,174,446,-0.9031130157501935,40-50,True,False,False,False,False,False,True,False,True,-0.6354439163861937,-2.1364698355449963,8,3,3,
5,4657,116,Laptop,0.012118374306065063,-0.9367876674403447,2024-09-13 00:45:00,6,1.1120382376354458,99,177,155,4,70,0,108999.41,Bronze,BOGO,Sunny,False,Thursday,True,287,469,-0.6558248236446599,60+,True,False,False,True,False,False,False,False,False,-54.118218094355235,-0.011352343599347697,9,3,4,
6,3286,630,Camera,0.716675020007527,0.789752780741745,2024-07-06 07:24:00,1,-0.3998133526346876,80,210,169,4,40,1,31779.77,Bronze,BOGO,Sunny,True,Saturday,False,294,265,1.1847089363155556,30-40,True,True,False,False,False,False,False,True,True,1.653062968907599,0.5659960899390902,7,3,3,Low
7,2679,238,Laptop,0.012118374306065063,1.5748720744953475,2024-03-17 22:33:00,3,-1.6036951745164605,52,287,250,3,54,0,75813.17,Platinum,BOGO,Sunny,False,Sunday,True,178,257,1.1225294256976057,50-60,False,False,False,False,True,False,False,False,False,92.63036421773147,0.019084889282903802,3,1,2,Low
8,9935,409,Tablet,0.716675020007527,-0.26504351708046087,2024-07-22 13:57:00,16,-0.8967645698068147,92,178,248,5,57,0,115784.29,Silver,Percentage Discount,Rainy,True,Thursday,True,165,264,0.18892571132773014,50-60,True,False,True,False,False,True,False,False,False,0.2636141989792611,-0.18995006790650462,7,3,3,Low
9,2424,106,Camera,0.716675020007527,1.0794455730513575,2024-03-30 04:10:00,12,-1.050749454000995,129,172,368,4,64,2,77392.78,Platinum,BOGO,Sunny,True,Saturday,True,476,428,1.4581941804118694,60+,True,True,False,False,False,False,False,True,False,2.0346658383552345,0.773611677663618,3,1,2,Low
10,7912,407,Laptop,1.421231665708989,-0.6383558390147913,2024-06-17 16:59:00,10,1.1960299926504532,88,253,494,1,24,1,44787.7,Bronze,BOGO,Sunny,True,Monday,True,395,400,0.11752176781590876,18-30,False,False,False,True,False,False,False,False,True,0.08269008540369271,-0.907251532398051,6,2,3,Low
